schedule_id,nationality,number,name,position,attackpoints,blockpoints,servepoints,efficency,totalabs,attack_pt,attack_err,attack_att,attack_tot,attack_eff,block_pt,block_err,block_touches,block_tot,block_eff,serve_pt,serve_err,serve_attempts,serve_tot,serve_eff,reception_successful,reception_err,reception_attempts,reception_tot,reception_eff,dig_digs,dig_err,dig_tot,dig_eff,set_pt,set_err,set_attempts,set_tot,set_eff
11830,NED,1,Knip Kirsten ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,NED,2,Savelkoel Fleur ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,NED,8,Korevaar Demi ,MB,0,0,0,0.00,0,0,0,0,0, ,0,0,0,0, ,0,0,5,5,0.00,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,NED,9,Schoot Myrthe ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,4,0,6,10,40.00,15,2,18,72.22,0,0,2,2,0.00
11830,NED,10,van Aalen Sarah ,S,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,NED,11,Buijs Anne ,OH,12,0,0,8.89,12,12,4,11,27,29.63,0,3,4,7,-42.86,0,1,10,11,-9.09,13,2,12,27,40.74,10,0,10,100.00,0,0,1,1,0.00
11830,NED,12,Bongaerts Britt ,S,2,1,0,5.26,3,2,0,3,5,40.00,1,1,3,5,0.00,0,1,8,9,-11.11,0,0,0,0, ,2,1,3,33.33,36,0,62,98,36.73
11830,NED,16,Baijens Indy ,MB,9,0,1,0.00,10,9,2,6,17,41.18,0,5,6,11,-45.45,1,3,3,7,-28.57,0,0,0,0, ,1,0,1,100.00,0,0,0,0, 
11830,NED,18,Jasper Marrit ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,NED,19,Daalderop Nika ,OH,7,2,1,6.82,10,7,3,11,21,19.05,2,3,2,7,-14.29,1,1,14,16,0.00,6,0,5,11,54.55,8,6,15,13.33,0,0,0,0, 
11830,NED,23,Timmerman Eline ,MB,7,1,2,3.03,10,7,2,2,11,45.45,1,4,4,9,-33.33,2,3,8,13,-7.69,0,0,0,0, ,4,0,5,80.00,0,0,1,1,0.00
11830,NED,24,de Zwart Laura ,MB,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,NED,26,Dambrink Elles ,O,10,2,1,28.57,13,10,1,15,26,34.62,2,0,2,4,50.00,1,0,11,12,8.33,1,0,0,1,100.00,5,0,5,100.00,0,0,0,0, 
11830,NED,27,Scholten Iris ,O,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,BEL,2,Van Sas Elise ,S,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,BEL,3,Herbots Britt ,OH,13,0,0,11.76,13,13,3,20,36,27.78,0,2,6,8,-25.00,0,2,5,7,-28.57,10,1,7,18,50.00,2,0,3,66.67,0,0,0,0, 
11830,BEL,5,Guilliams Jodie ,OH,5,0,0,3.57,5,5,2,10,17,17.65,0,0,2,2,0.00,0,2,7,9,-22.22,1,1,4,6,0.00,1,2,3,-33.33,0,0,0,0, 
11830,BEL,6,Gilson Helena ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,BEL,7,Van Gestel Celine ,OH,4,0,1,-8.57,5,4,1,12,17,17.65,0,5,2,7,-71.43,1,2,8,11,-9.09,7,1,10,18,33.33,3,1,4,50.00,0,0,2,2,0.00
11830,BEL,9,Demeyer Nel ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11830,BEL,10,Sobolska Dominika ,MB,2,0,0,-28.57,2,2,1,4,7,14.29,0,5,4,9,-55.56,0,2,3,5,-40.00,1,0,0,1,100.00,0,0,1,0.00,0,0,0,0, 
