matchid,matchname,teamhome,teamaway,scorehome,awayhome,result,points_home,points_away
11830,Pool 1 - Preliminary Round - Women,NED,BEL,3,0,"[25, 21, 25, 19, 25, 18]",75,58
11831,Pool 1 - Preliminary Round - Women,TUR,SRB,3,2,"[25, 21, 18, 25, 25, 23, 22, 25, 16, 14]",106,108
11832,Pool 1 - Preliminary Round - Women,GER,RUS,0,3,"[21, 25, 22, 25, 19, 25]",62,75
11833,Pool 1 - Preliminary Round - Women,JPN,THA,3,0,"[25, 15, 25, 17, 25, 16]",75,48
11834,Pool 1 - Preliminary Round - Women,CHN,KOR,3,1,"[23, 25, 25, 19, 25, 19, 25, 18]",98,81
11835,Pool 1 - Preliminary Round - Women,DOM,USA,0,3,"[20, 25, 21, 25, 12, 25]",53,75
11836,Pool 1 - Preliminary Round - Women,ITA,POL,2,3,"[22, 25, 25, 22, 25, 20, 22, 25, 15, 17]",109,109
11837,Pool 1 - Preliminary Round - Women,BRA,CAN,3,1,"[23, 25, 25, 11, 25, 9, 25, 14]",98,59
11838,Pool 1 - Preliminary Round - Women,NED,GER,2,3,"[25, 18, 18, 25, 30, 28, 23, 25, 12, 15]",108,111
11839,Pool 1 - Preliminary Round - Women,THA,KOR,1,3,"[25, 15, 13, 25, 18, 25, 17, 25]",73,90
11840,Pool 1 - Preliminary Round - Women,CHN,JPN,0,3,"[13, 25, 19, 25, 17, 25]",49,75
11841,Pool 1 - Preliminary Round - Women,BEL,RUS,2,3,"[25, 23, 25, 21, 19, 25, 19, 25, 8, 15]",96,109
11842,Pool 1 - Preliminary Round - Women,SRB,POL,3,1,"[20, 25, 25, 17, 25, 16, 25, 21]",95,79
11843,Pool 1 - Preliminary Round - Women,BRA,DOM,3,0,"[25, 20, 25, 13, 25, 17]",75,50
11844,Pool 1 - Preliminary Round - Women,TUR,ITA,3,0,"[25, 13, 25, 23, 25, 16]",75,52
11845,Pool 1 - Preliminary Round - Women,USA,CAN,3,0,"[26, 24, 25, 15, 25, 10]",76,49
11846,Pool 1 - Preliminary Round - Women,GER,BEL,3,0,"[25, 20, 25, 19, 25, 13]",75,52
11847,Pool 1 - Preliminary Round - Women,RUS,NED,1,3,"[14, 25, 22, 25, 25, 23, 20, 25]",81,98
11848,Pool 1 - Preliminary Round - Women,KOR,JPN,0,3,"[18, 25, 18, 25, 25, 27]",61,77
